,x,y,z,value,token
9720,-0.18823242,0.023666382,0.017715454,0.000467062, to ->  the
9721,-0.18823242,-0.005302429,0.009246826,0.00046682358, is ->  now
9722,-0.18811035,-0.040405273,-0.043182373,0.00046682358, that ->  is
9723,-0.18811035,0.04067993,0.016571045,0.00046682358, If ->  you
9724,-0.18811035,0.029083252,0.033599854,0.00046658516, that ->  ery
9725,-0.18786621,0.060180664,0.0072364807,0.00046658516, whether ->  by
9726,-0.13928223,0.1953125,0.014503479,0.00046658516, When ->  not
9727,-0.18774414,0.06347656,0.009841919,0.00046634674, because ->  we
9728,-0.18786621,0.058624268,0.03286743,0.00046634674,Both ->  the
9729,-0.18786621,-0.05996704,0.0047454834,0.00046634674," fact -> ,"
9730,-0.17541504,0.14978027,0.03186035,0.00046610832, When ->  we
9731,-0.18811035,-0.017593384,0.014808655,0.00046610832,"ly -> ,"
9732,-0.18811035,0.007949829,0.0211792,0.00046610832, the ->  environmental
9733,-0.18701172,0.08099365,-0.07727051,0.00046610832,", ->  it"
9734,-0.1583252,0.17919922,0.021972656,0.0004658699, when ->  they
9735,-0.08306885,0.21142578,-0.0335083,0.0004658699, without ->  sacrificing
9736,-0.18786621,0.05581665,0.018463135,0.0004658699, whether ->  the
9737,-0.18579102,0.099853516,0.036895752,0.0004658699, after ->  the
9738,-0.18310547,0.06286621,-0.19299316,0.00046563148,", ->  the"
9739,-0.1875,0.070617676,0.014137268,0.00046563148, because ->  of
9740,-0.18786621,-0.025756836,-0.087890625,0.00046563148,And ->  in
9741,-0.1862793,0.093322754,-0.035583496,0.00046515465,Instead ->  of
9742,-0.18798828,0.020431519,-0.062286377,0.00046491623,", ->  the"
9743,-0.18774414,0.056732178,-0.0011854172,0.00046491623, because ->  it
9744,-0.18798828,-0.0065307617,0.04336548,0.0004646778,", ->  the"
9745,-0.09655762,0.20947266,-0.001332283,0.0004644394, when ->  you
9746,-0.18798828,0.0048561096,0.029815674,0.0004644394,", ->  the"
9747,-0.18798828,-0.0019664764,0.021026611,0.0004644394,", ->  the"
9748,-0.18798828,0.0044555664,0.03213501,0.0004644394,", ->  the"
9749,-0.18762207,0.058258057,-0.021072388,0.0004644394," Additionally -> ,"
9750,-0.18725586,0.035095215,-0.121276855,0.0004644394,", ->  the"
9751,-0.18798828,0.015670776,0.015960693,0.0004644394, that ->  the
9752,-0.18786621,0.041290283,0.04046631,0.0004644394, as ->  they
9753,-0.1763916,0.14660645,0.027313232,0.0004644394,When ->  a
9754,-0.18786621,0.039245605,-0.01701355,0.00046420097," addition -> ,"
9755,-0.08459473,0.21105957,-0.005191803,0.00046420097, when ->  presented
9756,-0.18725586,-0.07525635,0.019958496,0.00046420097, of ->  this
9757,-0.18798828,-0.02305603,0.023071289,0.00046420097,To ->  understand
9758,-0.13244629,0.19873047,0.0357666,0.00046396255, are ->  not
9759,-0.18701172,0.078308105,0.04727173,0.00046396255, after ->  the
9760,-0.18737793,0.068481445,0.016479492,0.00046396255, Without ->  a
9761,-0.18786621,-0.012496948,0.041534424,0.00046396255,", ->  the"
9762,-0.18786621,0.026931763,0.03930664,0.00046372414, actually ->  not
9763,-0.18786621,0.022506714,0.019226074,0.00046372414,If ->  you
9764,-0.18786621,0.01121521,0.041503906,0.00046372414, Among ->  the
9765,-0.18786621,0.01675415,0.032440186,0.00046372414, that ->  the
9766,-0.18786621,0.00944519,0.010559082,0.00046372414, that ->  the
9767,-0.18786621,-0.0025253296,-0.052215576,0.00046372414, Only ->  a
9768,-0.18762207,0.053894043,-9.101629e-05,0.00046348572," such -> ,"
9769,-0.18762207,0.052001953,0.011116028,0.00046348572, that ->  this
9770,-0.18359375,0.11627197,0.00944519,0.00046348572, long ->  it
